artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres
Bert Kaempfert Swing Band,0.241,0.655,175240,0.62,0.369,0.147,-8.669,0.0408,94.657,0.646,14,0,1,2,['ballroom']
Bert Lahr,0.865875,0.5708125,114579.125,0.31875,0.000308406,0.4264375,-19.1226875,0.23413125,109.8039375,0.6105,14,8,1,16,[]
Bert Michaels,0.698666667,0.618,254462.3333,0.458666667,0,0.425,-9.393666667,0.446666667,121.629,0.844666667,22.33333333,1,1,3,[]
Bert Spero,0.982,0.215,176880,0.0732,0,0.159,-23.024,0.0506,74.786,0.0793,0,11,1,1,[]
"Bertha ""Chippie"" Hill",0.985333333,0.548333333,174884.3333,0.121333333,0.000366667,0.064333333,-14.72866667,0.0853,139.1463333,0.501666667,4,9,1,3,['vintage swing']
Bertha Tillman,0.834,0.451,142853,0.367,6.54E-05,0.183,-7.147,0.0251,95.465,0.239,41,0,1,2,[]
Bertha Tilman,0.834,0.451,142853,0.367,6.54E-05,0.183,-7.147,0.0251,95.465,0.239,41,0,1,1,['classic soul']
Berthe Sylva,0.963692308,0.506153846,183508.6923,0.211307692,1.83E-06,0.2226,-12.76461538,0.079238462,100.1716923,0.555153846,0,7,1,26,['vintage chanson']
Bertie Higgins,0.400666667,0.588333333,236635.6667,0.577666667,3.95E-05,0.191,-10.45133333,0.032966667,118.0163333,0.616666667,41.66666667,11,1,6,['soft rock']
Bertin y Lalo,0.4785,0.8305,207586.5,0.5735,5.12E-05,0.14955,-8.2935,0.0544,119.5015,0.935,45,7,1,4,"['banda caliente', 'deep cumbia sonidera', 'norteno']"
Bertrand Chamayou,0.9945,0.3765,233307,0.0522,0.912,0.08895,-26.6145,0.0543,97.3485,0.29655,56.5,6,0,4,['classical piano']
Berval,0.994,0.506,177667,0.198,0,0.0926,-13.877,0.0759,96.974,0.489,0,0,0,2,[]
Beryl Dixon,0.976,0.328333333,278769,0.068266667,0.000576,0.091033333,-21.681,0.0482,121.555,0.120033333,0,9,1,3,[]
Bessie Smith,0.987098039,0.608039216,192261.9216,0.106390196,0.032989707,0.190945098,-12.36160784,0.051688235,86.60915686,0.440529412,20.05882353,0,1,51,"['blues', 'jazz blues', 'traditional blues', 'vocal jazz']"
Best Coast,0.2942855,0.2995,162996.5,0.85075,0.4349825,0.195,-4.3675,0.052725,124.60675,0.37075,47.75,0,1,8,"['art pop', 'indie pop', 'indie rock', 'indie surf', 'indietronica', 'la indie', 'metropopolis', 'nu gaze']"
Beta Radio,0.637,0.651,135560,0.621,0.000122,0.0712,-7.271,0.0359,77.578,0.914,52,8,1,2,"['acoustic pop', 'calming instrumental', 'indie anthem-folk', 'indie folk', 'indiecoustica', 'new americana', 'stomp and flutter', 'stomp and holler']"
Beta Soul,0.0872,0.557,233373,0.635,0.0017,0.103,-6.069,0.0244,80.018,0.197,44,2,1,2,[]
Beth Blankenship,0.768,0.447,145267,0.404,0,0.112,-8.417,0.0406,82.406,0.372,46,7,1,1,['disney']
